mouse,tissue,group,day,Mass (mg),Amount of trizol added (ml) ,Amount extracted (ml),Fraction extracted,RNA Pre Dnase Conc. (ng/ul),Dnase Treatment Date (Only adding 10ug of RNA),uL to add to Dnase rxn,uL of water to add,Dnase dilution,RNA Post Dnase Conc.,cDNA creation ,cDNA diltuion,fraction added to QPCR,fraction represented,multiplier to reprent full sample,parasitemia_count
30,blood,IV,10,25,1,1,1,198.3,12/3/19,30,13,1,99.8,0.08,0.227272727,0.04,0.000727273,1375,4.00E+05
36,blood,IV,10,25,1,1,1,305.8,12/3/19,30,13,1,85.9,0.16,0.227272727,0.1,0.003636364,275,4.00E+05
2,blood,IV,6,25,1,1,1,186.4,,30,13,1,71.6,0.08,0.227272727,0.04,0.000727273,1375,1.10E+08
3,blood,IV,6,25,1,1,1,123.1,,30,13,1,49.9,0.08,0.227272727,0.04,0.000727273,1375,3.00E+08
34,blood,IV,6,25,1,1,1,132.4,,30,13,1,55.1,0.08,0.227272727,0.04,0.000727273,1375,4.00E+08
35,blood,IV,6,25,1,1,1,95.6,,30,13,1,39.2,0.16,0.227272727,0.1,0.003636364,275,7.00E+07
2,blood,IV,10,25,1,1,1,340.5,12/10/19,29.36857562,13.63142438,0.978952521,122,0.08,0.227272727,0.04,0.000711965,1404.5625,4.00E+05
3,blood,IV,10,25,1,1,1,583.9,12/10/19,17.12622024,25.87377976,0.570874008,168.6,0.08,0.227272727,0.04,0.000415181,2408.5875,3.50E+06
34,blood,IV,10,25,1,1,1,319.5,12/10/19,30,13,1,100.5,0.08,0.227272727,0.04,0.000727273,1375,1.00E+06
35,blood,IV,10,25,1,1,1,122.6,12/10/19,30,13,1,52.2,0.08,0.227272727,0.04,0.000727273,1375,4.00E+05
2,blood,IV,14,25,1,1,1,307.3,1/29/20,30,13,1,128.8,0.08,0.227272727,0.04,0.000727273,1375,2.30E+07
3,blood,IV,14,25,1,1,1,279.6,3/30/21,30,13,1,113.6,0.16,0.227272727,0.1,0.003636364,275,2.00E+07
34,blood,IV,14,25,1,1,1,176.2,3/30/21,30,13,1,70.2,0.04,0.227272727,0.1,0.000909091,1100,8.50E+06
35,blood,IV,14,25,1,1,1,673.8,3/30/21,14.84119917,28.15880083,0.494706639,174.4,0.16,0.227272727,0.1,0.001798933,555.885,4.00E+06
