cell,mouse,source,number_of_VSGs
G17_mouse2_heart,mouse2,heart,1
G18_Mix_random_R2,invitro,mix,4
G18_mouse1_heart,mouse1,heart,6
G18_mouse2_fat,mouse2,fat,3
G19_Lung_R2,mouse1,lung,3
G19_Mix_random_R2,invitro,mix,4
G19_mouse1_blood,mouse1,blood,7
G19_mouse1_heart,mouse1,heart,10
G19_mouse2_fat,mouse2,fat,4
G19_mouse2_heart,mouse2,heart,3
G1_Mix_random_R1,invitro,mix,4
G1_mouse1_blood,mouse1,blood,4
G1_mouse2_heart,mouse2,heart,4
G20_Lung_R2,mouse1,lung,2
G20_Mix_random_R2,invitro,mix,5
G20_mouse1_blood,mouse1,blood,3
G20_mouse1_heart,mouse1,heart,2
G20_mouse2_fat,mouse2,fat,8
G21_Lung_R2,mouse1,lung,3
G21_Mix_random_R1,invitro,mix,6
G21_Mix_random_R2,invitro,mix,8
G21_mouse1_fat,mouse1,fat,9
G21_mouse1_heart,mouse1,heart,4
G21_mouse2_blood,mouse2,blood,3
G21_mouse2_heart,mouse2,heart,2
G21_mouse2_lung,mouse2,lung,1
G22_Lung_R2,mouse1,lung,3
G22_Mix_random_R1,invitro,mix,3
G22_Mix_random_R2,invitro,mix,5
G22_mouse1_blood,mouse1,blood,4
G22_mouse1_fat,mouse1,fat,2
G22_mouse2_blood,mouse2,blood,4
G22_mouse2_lung,mouse2,lung,2
G23_Lung_R2,mouse1,lung,2
G23_Mix_random_R1,invitro,mix,7
G23_Mix_random_R2,invitro,mix,6
G23_mouse1_blood,mouse1,blood,2
G23_mouse1_heart,mouse1,heart,2
G23_mouse2_blood,mouse2,blood,4
G24_Mix_random_R1,invitro,mix,2
G24_mouse1_heart,mouse1,heart,3
G3_Lung_R2,mouse1,lung,3
G3_Mix_random_R1,invitro,mix,1
G3_Mix_random_R2,invitro,mix,7
G3_mouse1_blood,mouse1,blood,8
G3_mouse1_heart,mouse1,heart,4
G3_mouse2_heart,mouse2,heart,3
G4_Mix_random_R2,invitro,mix,6
G4_mouse1_blood,mouse1,blood,9
G4_mouse1_heart,mouse1,heart,2
G4_mouse2_fat,mouse2,fat,2
G4_mouse2_heart,mouse2,heart,5
G5_Mix_random_R1,invitro,mix,2
G5_Mix_random_R2,invitro,mix,7
G5_mouse1_blood,mouse1,blood,6
G5_mouse1_heart,mouse1,heart,7
G5_mouse2_fat,mouse2,fat,4
G5_mouse2_heart,mouse2,heart,3
G6_Mix_random_R1,invitro,mix,4
G6_Mix_random_R2,invitro,mix,5
G6_mouse1_blood,mouse1,blood,4
G6_mouse1_heart,mouse1,heart,5
G6_mouse2_fat,mouse2,fat,5
G6_mouse2_lung,mouse2,lung,6
G7_Mix_random_R2,invitro,mix,3
G7_mouse1_blood,mouse1,blood,3
G7_mouse1_heart,mouse1,heart,7
G8_Mix_random_R2,invitro,mix,6
G8_mouse1_heart,mouse1,heart,6
G8_mouse2_blood,mouse2,blood,2
G8_mouse2_fat,mouse2,fat,6
G9_Mix_random_R2,invitro,mix,6
G9_mouse1_fat,mouse1,fat,5
G9_mouse1_heart,mouse1,heart,4
G9_mouse2_fat,mouse2,fat,3
G9_mouse2_heart,mouse2,heart,3
H11_Lung_R2,mouse1,lung,4
H11_Mix_random_R2,invitro,mix,4
H11_mouse1_fat,mouse1,fat,2
H11_mouse1_heart,mouse1,heart,4
H11_mouse2_heart,mouse2,heart,1
H12_mouse1_blood,mouse1,blood,5
H12_mouse1_fat,mouse1,fat,5
H12_mouse1_heart,mouse1,heart,4
H12_mouse2_heart,mouse2,heart,4
H12_mouse2_lung,mouse2,lung,3
H13_Mix_random_R2,invitro,mix,5
H13_mouse1_blood,mouse1,blood,2
H13_mouse1_fat,mouse1,fat,11
H13_mouse2_heart,mouse2,heart,2
H14_Lung_R2,mouse1,lung,2
H14_Mix_random_R2,invitro,mix,3
H14_mouse1_blood,mouse1,blood,4
H14_mouse1_fat,mouse1,fat,4
H14_mouse2_heart,mouse2,heart,1
H15_Mix_random_R2,invitro,mix,7
H15_mouse1_blood,mouse1,blood,1
H15_mouse1_fat,mouse1,fat,7
H15_mouse2_lung,mouse2,lung,6
H16_Mix_random_R2,invitro,mix,4
H16_mouse1_fat,mouse1,fat,5
H16_mouse2_heart,mouse2,heart,6
H17_Mix_random_R1,invitro,mix,3
H17_Mix_random_R2,invitro,mix,4
H17_mouse1_heart,mouse1,heart,5
H17_mouse2_fat,mouse2,fat,3
H17_mouse2_heart,mouse2,heart,2
H18_Mix_random_R1,invitro,mix,2
H18_Mix_random_R2,invitro,mix,4
H18_mouse1_blood,mouse1,blood,3
H18_mouse1_fat,mouse1,fat,1
H18_mouse1_heart,mouse1,heart,3
H18_mouse2_blood,mouse2,blood,3
H19_Lung_R2,mouse1,lung,3
H19_Mix_random_R1,invitro,mix,1
H19_Mix_random_R2,invitro,mix,4
H19_mouse1_blood,mouse1,blood,2
H19_mouse1_heart,mouse1,heart,1
H19_mouse2_blood,mouse2,blood,5
H19_mouse2_heart,mouse2,heart,2
H19_mouse2_lung,mouse2,lung,2
H1_Mix_random_R1,invitro,mix,1
H1_Mix_random_R2,invitro,mix,6
H1_mouse1_blood,mouse1,blood,2
H1_mouse1_fat,mouse1,fat,2
H1_mouse2_heart,mouse2,heart,5
H1_mouse2_lung,mouse2,lung,4
H20_Lung_R2,mouse1,lung,3
H20_Mix_random_R1,invitro,mix,7
H20_Mix_random_R2,invitro,mix,7
H20_mouse1_blood,mouse1,blood,4
H20_mouse1_fat,mouse1,fat,2
H20_mouse2_blood,mouse2,blood,3
H21_Lung_R2,mouse1,lung,2
H21_Mix_random_R1,invitro,mix,8
H21_Mix_random_R2,invitro,mix,4
H21_mouse1_blood,mouse1,blood,2
H21_mouse1_fat,mouse1,fat,5
H21_mouse2_blood,mouse2,blood,3
H22_Lung_R2,mouse1,lung,3
H22_Mix_random_R1,invitro,mix,9
H22_Mix_random_R2,invitro,mix,3
H22_mouse1_heart,mouse1,heart,2
H22_mouse2_blood,mouse2,blood,3
H22_mouse2_heart,mouse2,heart,4
H22_mouse2_lung,mouse2,lung,1
H23_Mix_random_R2,invitro,mix,3
H23_mouse1_blood,mouse1,blood,1
H23_mouse1_fat,mouse1,fat,1
H23_mouse2_heart,mouse2,heart,2
H24_mouse1_blood,mouse1,blood,4
H2_Mix_random_R1,invitro,mix,5
H2_Mix_random_R2,invitro,mix,5
H2_mouse1_blood,mouse1,blood,4
H2_mouse1_fat,mouse1,fat,2
H3_Mix_random_R1,invitro,mix,4
H3_Mix_random_R2,invitro,mix,3
H3_mouse1_blood,mouse1,blood,10
H3_mouse1_fat,mouse1,fat,1
H3_mouse1_heart,mouse1,heart,6
H4_Mix_random_R2,invitro,mix,3
H4_mouse1_blood,mouse1,blood,3
H4_mouse1_heart,mouse1,heart,5
H4_mouse2_fat,mouse2,fat,3
H5_Lung_R2,mouse1,lung,5
H5_Mix_random_R1,invitro,mix,2
H5_Mix_random_R2,invitro,mix,6
H5_mouse1_fat,mouse1,fat,2
H5_mouse1_heart,mouse1,heart,2
H5_mouse2_fat,mouse2,fat,1
H6_Mix_random_R2,invitro,mix,2
H6_mouse1_blood,mouse1,blood,4
H6_mouse2_blood,mouse2,blood,5
H6_mouse2_fat,mouse2,fat,3
H6_mouse2_lung,mouse2,lung,2
H7_Mix_random_R2,invitro,mix,3
H7_mouse1_fat,mouse1,fat,4
H7_mouse1_heart,mouse1,heart,3
H8_Mix_random_R2,invitro,mix,3
H8_mouse1_blood,mouse1,blood,3
H8_mouse1_heart,mouse1,heart,14
H9_Lung_R2,mouse1,lung,2
H9_Mix_random_R2,invitro,mix,7
H9_mouse1_blood,mouse1,blood,6
H9_mouse1_fat,mouse1,fat,6
H9_mouse1_heart,mouse1,heart,6
H9_mouse2_fat,mouse2,fat,2
H9_mouse2_heart,mouse2,heart,8
I10_Lung_R2,mouse1,lung,4
I10_Mix_random_R2,invitro,mix,6
I10_mouse1_fat,mouse1,fat,9
I10_mouse2_heart,mouse2,heart,3
I11_Lung_R2,mouse1,lung,4
I11_Mix_random_R2,invitro,mix,8
I11_mouse1_fat,mouse1,fat,5
I11_mouse2_heart,mouse2,heart,5
I12_Mix_random_R2,invitro,mix,4
I12_mouse1_fat,mouse1,fat,6
I12_mouse2_heart,mouse2,heart,5
I13_Mix_random_R2,invitro,mix,6
I13_mouse1_blood,mouse1,blood,6
I13_mouse1_fat,mouse1,fat,8
I13_mouse2_heart,mouse2,heart,5
I14_Lung_R2,mouse1,lung,3
I14_Mix_random_R2,invitro,mix,3
I14_mouse1_blood,mouse1,blood,6
I14_mouse1_fat,mouse1,fat,7
I14_mouse2_blood,mouse2,blood,2
I14_mouse2_heart,mouse2,heart,3
I15_Lung_R2,mouse1,lung,1
I15_Mix_random_R2,invitro,mix,4
I15_mouse1_blood,mouse1,blood,3
I15_mouse1_fat,mouse1,fat,5
I15_mouse2_blood,mouse2,blood,1
I15_mouse2_heart,mouse2,heart,8
I15_mouse2_lung,mouse2,lung,2
I16_Mix_random_R2,invitro,mix,1
I16_mouse1_blood,mouse1,blood,4
I16_mouse2_blood,mouse2,blood,2
I16_mouse2_fat,mouse2,fat,2
I16_mouse2_heart,mouse2,heart,2
I17_Lung_R2,mouse1,lung,2
I17_mouse2_blood,mouse2,blood,4
I17_mouse2_fat,mouse2,fat,2
I17_mouse2_lung,mouse2,lung,4
I18_Lung_R2,mouse1,lung,2
I18_Mix_random_R1,invitro,mix,1
I18_Mix_random_R2,invitro,mix,5
I18_mouse2_blood,mouse2,blood,4
I18_mouse2_fat,mouse2,fat,4
I19_Lung_R2,mouse1,lung,3
I19_Mix_random_R2,invitro,mix,3
I19_mouse1_blood,mouse1,blood,3
I19_mouse2_fat,mouse2,fat,7
I19_mouse2_lung,mouse2,lung,7
I1_Mix_random_R1,invitro,mix,1
I1_Mix_random_R2,invitro,mix,6
I1_mouse1_blood,mouse1,blood,3
I1_mouse1_fat,mouse1,fat,7
I1_mouse2_heart,mouse2,heart,5
I20_Lung_R2,mouse1,lung,3
I20_Mix_random_R2,invitro,mix,5
I20_mouse1_blood,mouse1,blood,4
I20_mouse1_heart,mouse1,heart,2
I20_mouse2_blood,mouse2,blood,7
I20_mouse2_fat,mouse2,fat,5
I21_Mix_random_R1,invitro,mix,3
I21_Mix_random_R2,invitro,mix,7
I21_mouse1_heart,mouse1,heart,3
I21_mouse2_blood,mouse2,blood,5
I21_mouse2_fat,mouse2,fat,7
I21_mouse2_lung,mouse2,lung,3
I22_Mix_random_R1,invitro,mix,4
I22_Mix_random_R2,invitro,mix,3
I22_mouse1_blood,mouse1,blood,1
I22_mouse1_heart,mouse1,heart,5
I22_mouse2_lung,mouse2,lung,3
I23_Mix_random_R1,invitro,mix,2
I23_mouse1_blood,mouse1,blood,3
I23_mouse1_heart,mouse1,heart,2
I23_mouse2_blood,mouse2,blood,3
I23_mouse2_heart,mouse2,heart,2
I23_mouse2_lung,mouse2,lung,8
I24_Mix_random_R1,invitro,mix,4
I24_mouse1_blood,mouse1,blood,1
I24_mouse1_fat,mouse1,fat,2
I24_mouse2_blood,mouse2,blood,6
I24_mouse2_lung,mouse2,lung,3
I2_Mix_random_R1,invitro,mix,5
I2_Mix_random_R2,invitro,mix,5
I2_mouse1_blood,mouse1,blood,8
I2_mouse2_heart,mouse2,heart,2
I3_Mix_random_R1,invitro,mix,3
I3_Mix_random_R2,invitro,mix,5
I3_mouse1_blood,mouse1,blood,3
I3_mouse2_blood,mouse2,blood,1
I3_mouse2_heart,mouse2,heart,2
I4_Lung_R2,mouse1,lung,3
I4_Mix_random_R1,invitro,mix,2
I4_mouse1_fat,mouse1,fat,3
I4_mouse2_fat,mouse2,fat,8
I5_Mix_random_R1,invitro,mix,4
I5_Mix_random_R2,invitro,mix,5
I5_mouse1_fat,mouse1,fat,1
I5_mouse2_fat,mouse2,fat,4
I6_Lung_R2,mouse1,lung,2
I6_Mix_random_R1,invitro,mix,1
I6_Mix_random_R2,invitro,mix,6
I6_mouse1_fat,mouse1,fat,5
I6_mouse2_blood,mouse2,blood,3
I6_mouse2_fat,mouse2,fat,3
I7_Mix_random_R1,invitro,mix,5
I7_Mix_random_R2,invitro,mix,4
I7_mouse1_blood,mouse1,blood,2
I7_mouse1_fat,mouse1,fat,7
I7_mouse2_heart,mouse2,heart,2
I8_Lung_R2,mouse1,lung,2
I8_Mix_random_R1,invitro,mix,3
I8_Mix_random_R2,invitro,mix,8
I8_mouse2_fat,mouse2,fat,2
I8_mouse2_heart,mouse2,heart,2
I9_Lung_R2,mouse1,lung,4
I9_Mix_random_R1,invitro,mix,4
I9_Mix_random_R2,invitro,mix,6
I9_mouse1_fat,mouse1,fat,5
I9_mouse2_fat,mouse2,fat,8
J10_Mix_random_R2,invitro,mix,2
J10_mouse1_fat,mouse1,fat,7
J10_mouse2_heart,mouse2,heart,4
J11_Lung_R2,mouse1,lung,5
J11_Mix_random_R2,invitro,mix,4
J11_mouse1_fat,mouse1,fat,5
J12_Lung_R2,mouse1,lung,2
J12_Mix_random_R2,invitro,mix,9
J12_mouse1_blood,mouse1,blood,1
J13_Lung_R2,mouse1,lung,4
J13_Mix_random_R2,invitro,mix,4
J13_mouse1_blood,mouse1,blood,2
J13_mouse1_fat,mouse1,fat,5
J13_mouse1_heart,mouse1,heart,3
J13_mouse2_heart,mouse2,heart,10
J13_mouse2_lung,mouse2,lung,6
J15_Mix_random_R2,invitro,mix,2
J15_mouse1_blood,mouse1,blood,5
J15_mouse1_fat,mouse1,fat,4
J15_mouse2_heart,mouse2,heart,6
J16_Mix_random_R2,invitro,mix,7
J16_mouse1_blood,mouse1,blood,4
J16_mouse1_fat,mouse1,fat,2
J16_mouse2_fat,mouse2,fat,3
J16_mouse2_heart,mouse2,heart,5
J17_mouse2_fat,mouse2,fat,3
J17_mouse2_lung,mouse2,lung,1
J18_Mix_random_R2,invitro,mix,3
J18_mouse2_blood,mouse2,blood,1
J18_mouse2_fat,mouse2,fat,5
J18_mouse2_lung,mouse2,lung,5
J19_Lung_R2,mouse1,lung,4
J19_Mix_random_R1,invitro,mix,2
J19_mouse1_blood,mouse1,blood,7
J19_mouse2_fat,mouse2,fat,1
J19_mouse2_heart,mouse2,heart,6
J19_mouse2_lung,mouse2,lung,6
J1_Mix_random_R2,invitro,mix,6
J1_mouse1_fat,mouse1,fat,1
J20_mouse1_heart,mouse1,heart,4
J20_mouse2_blood,mouse2,blood,3
J20_mouse2_fat,mouse2,fat,4
J20_mouse2_lung,mouse2,lung,2
J21_Mix_random_R1,invitro,mix,3
J21_Mix_random_R2,invitro,mix,4
J21_mouse1_blood,mouse1,blood,4
J21_mouse1_fat,mouse1,fat,2
J21_mouse1_heart,mouse1,heart,1
J22_Mix_random_R1,invitro,mix,3
J22_mouse1_heart,mouse1,heart,1
J22_mouse2_heart,mouse2,heart,5
J23_Mix_random_R1,invitro,mix,2
J23_mouse1_blood,mouse1,blood,1
J23_mouse1_fat,mouse1,fat,4
J23_mouse1_heart,mouse1,heart,1
J23_mouse2_blood,mouse2,blood,4
J23_mouse2_heart,mouse2,heart,4
J23_mouse2_lung,mouse2,lung,3
J24_Mix_random_R1,invitro,mix,2
J24_mouse2_blood,mouse2,blood,2
J24_mouse2_heart,mouse2,heart,5
J24_mouse2_lung,mouse2,lung,1
J2_Mix_random_R1,invitro,mix,2
J2_Mix_random_R2,invitro,mix,8
J2_mouse1_blood,mouse1,blood,4
J2_mouse2_heart,mouse2,heart,3
J3_Mix_random_R1,invitro,mix,2
J3_Mix_random_R2,invitro,mix,7
J3_mouse1_blood,mouse1,blood,6
J3_mouse1_fat,mouse1,fat,1
J3_mouse2_fat,mouse2,fat,3
J3_mouse2_heart,mouse2,heart,8
J4_Lung_R2,mouse1,lung,2
J4_Mix_random_R1,invitro,mix,6
J4_Mix_random_R2,invitro,mix,6
J4_mouse1_blood,mouse1,blood,5
J4_mouse2_fat,mouse2,fat,3
J4_mouse2_heart,mouse2,heart,4
J5_Lung_R2,mouse1,lung,4
J5_Mix_random_R1,invitro,mix,3
J5_mouse1_fat,mouse1,fat,3
J5_mouse2_fat,mouse2,fat,6
J6_Lung_R2,mouse1,lung,3
J6_Mix_random_R2,invitro,mix,5
J6_mouse1_blood,mouse1,blood,4
J6_mouse2_blood,mouse2,blood,2
J6_mouse2_fat,mouse2,fat,2
J7_Mix_random_R1,invitro,mix,6
J7_Mix_random_R2,invitro,mix,4
J7_mouse1_fat,mouse1,fat,4
J7_mouse1_heart,mouse1,heart,4
J7_mouse2_heart,mouse2,heart,8
J8_Lung_R2,mouse1,lung,4
J8_Mix_random_R1,invitro,mix,3
J8_Mix_random_R2,invitro,mix,10
J8_mouse1_fat,mouse1,fat,6
J8_mouse2_fat,mouse2,fat,5
J9_Lung_R2,mouse1,lung,5
J9_Mix_random_R2,invitro,mix,4
J9_mouse1_fat,mouse1,fat,7
J9_mouse1_heart,mouse1,heart,2
J9_mouse2_blood,mouse2,blood,1
J9_mouse2_fat,mouse2,fat,4
J9_mouse2_heart,mouse2,heart,7
K10_Lung_R2,mouse1,lung,4
K10_Mix_random_R2,invitro,mix,6
K10_mouse1_blood,mouse1,blood,6
K10_mouse1_fat,mouse1,fat,8
K10_mouse1_heart,mouse1,heart,2
K10_mouse2_blood,mouse2,blood,2
K10_mouse2_fat,mouse2,fat,5
K11_Mix_random_R2,invitro,mix,9
K11_mouse1_fat,mouse1,fat,7
K11_mouse1_heart,mouse1,heart,5
K11_mouse2_heart,mouse2,heart,2
K12_Lung_R2,mouse1,lung,4
K12_Mix_random_R1,invitro,mix,3
K12_Mix_random_R2,invitro,mix,7
K12_mouse1_blood,mouse1,blood,8
K13_Lung_R2,mouse1,lung,1
K13_Mix_random_R1,invitro,mix,5
K13_Mix_random_R2,invitro,mix,6
K13_mouse1_blood,mouse1,blood,8
K13_mouse1_fat,mouse1,fat,11
K13_mouse1_heart,mouse1,heart,8
K13_mouse2_heart,mouse2,heart,2
K14_Lung_R2,mouse1,lung,4
K14_Mix_random_R2,invitro,mix,3
K14_mouse1_blood,mouse1,blood,3
K14_mouse1_fat,mouse1,fat,3
K14_mouse1_heart,mouse1,heart,1
K16_Mix_random_R2,invitro,mix,3
K16_mouse1_fat,mouse1,fat,1
K16_mouse2_heart,mouse2,heart,1
K17_Lung_R2,mouse1,lung,3
K17_Mix_random_R1,invitro,mix,5
K17_Mix_random_R2,invitro,mix,6
K17_mouse1_blood,mouse1,blood,8
K17_mouse1_fat,mouse1,fat,1
K17_mouse2_fat,mouse2,fat,5
K17_mouse2_heart,mouse2,heart,7
K18_Lung_R2,mouse1,lung,4
K18_Mix_random_R2,invitro,mix,2
K18_mouse2_fat,mouse2,fat,2
K19_Lung_R2,mouse1,lung,3
K19_Mix_random_R1,invitro,mix,5
K19_mouse2_heart,mouse2,heart,3
K1_Lung_R2,mouse1,lung,4
K1_Mix_random_R1,invitro,mix,2
K1_Mix_random_R2,invitro,mix,8
K1_mouse1_blood,mouse1,blood,4
K1_mouse1_fat,mouse1,fat,3
K1_mouse2_heart,mouse2,heart,2
K20_Lung_R2,mouse1,lung,3
K20_Mix_random_R1,invitro,mix,5
K20_mouse2_fat,mouse2,fat,4
K21_Lung_R2,mouse1,lung,5
K21_Mix_random_R1,invitro,mix,8
K21_Mix_random_R2,invitro,mix,5
K21_mouse1_fat,mouse1,fat,4
K21_mouse2_blood,mouse2,blood,10
K21_mouse2_heart,mouse2,heart,4
K22_Mix_random_R1,invitro,mix,6
K22_Mix_random_R2,invitro,mix,5
K22_mouse2_heart,mouse2,heart,4
K23_Lung_R2,mouse1,lung,5
K23_Mix_random_R1,invitro,mix,5
K23_mouse1_blood,mouse1,blood,2
K23_mouse1_heart,mouse1,heart,3
K23_mouse2_blood,mouse2,blood,2
K23_mouse2_fat,mouse2,fat,6
K24_Lung_R2,mouse1,lung,2
K24_Mix_random_R1,invitro,mix,3
K24_mouse1_fat,mouse1,fat,8
K24_mouse1_heart,mouse1,heart,2
K24_mouse2_blood,mouse2,blood,3
K2_Lung_R2,mouse1,lung,3
K2_mouse1_blood,mouse1,blood,6
K2_mouse2_heart,mouse2,heart,5
K3_Lung_R2,mouse1,lung,6
K3_Mix_random_R2,invitro,mix,3
K3_mouse1_blood,mouse1,blood,4
K3_mouse2_heart,mouse2,heart,5
K4_Lung_R2,mouse1,lung,4
K4_Mix_random_R2,invitro,mix,4
K5_Lung_R2,mouse1,lung,2
K5_Mix_random_R2,invitro,mix,4
K5_mouse1_heart,mouse1,heart,2
K5_mouse2_heart,mouse2,heart,4
K6_Lung_R2,mouse1,lung,2
K6_Mix_random_R1,invitro,mix,3
K6_Mix_random_R2,invitro,mix,2
K6_mouse1_blood,mouse1,blood,4
K6_mouse1_fat,mouse1,fat,5
K6_mouse1_heart,mouse1,heart,3
K7_Lung_R2,mouse1,lung,3
K7_Mix_random_R2,invitro,mix,10
K7_mouse1_blood,mouse1,blood,5
K7_mouse1_fat,mouse1,fat,14
K7_mouse1_heart,mouse1,heart,4
K7_mouse2_fat,mouse2,fat,6
K8_Lung_R2,mouse1,lung,4
K8_Mix_random_R2,invitro,mix,7
K8_mouse1_blood,mouse1,blood,5
K8_mouse1_fat,mouse1,fat,9
K8_mouse1_heart,mouse1,heart,6
K8_mouse2_fat,mouse2,fat,2
K9_Lung_R2,mouse1,lung,3
K9_Mix_random_R2,invitro,mix,6
K9_mouse1_fat,mouse1,fat,6
K9_mouse1_heart,mouse1,heart,5
K9_mouse2_blood,mouse2,blood,3
L10_Mix_random_R2,invitro,mix,2
L10_mouse1_blood,mouse1,blood,5
L10_mouse1_fat,mouse1,fat,11
L11_Lung_R2,mouse1,lung,4
L11_Mix_random_R2,invitro,mix,6
L11_mouse1_blood,mouse1,blood,2
L11_mouse1_fat,mouse1,fat,7
L11_mouse1_heart,mouse1,heart,5
L11_mouse2_heart,mouse2,heart,3
L12_Lung_R2,mouse1,lung,2
L12_Mix_random_R1,invitro,mix,2
L12_Mix_random_R2,invitro,mix,6
L12_mouse1_blood,mouse1,blood,2
L13_Lung_R2,mouse1,lung,2
L13_Mix_random_R1,invitro,mix,7
L13_mouse1_blood,mouse1,blood,8
L13_mouse1_fat,mouse1,fat,5
L13_mouse1_heart,mouse1,heart,5
L14_Mix_random_R1,invitro,mix,3
L14_Mix_random_R2,invitro,mix,5
L14_mouse1_blood,mouse1,blood,4
L14_mouse1_fat,mouse1,fat,4
L14_mouse1_heart,mouse1,heart,1
L15_Mix_random_R1,invitro,mix,2
L15_Mix_random_R2,invitro,mix,5
L15_mouse1_blood,mouse1,blood,2
L15_mouse1_fat,mouse1,fat,5
L15_mouse1_heart,mouse1,heart,4
L15_mouse2_heart,mouse2,heart,3
L16_Mix_random_R1,invitro,mix,2
L16_mouse1_blood,mouse1,blood,3
L16_mouse1_fat,mouse1,fat,2
L16_mouse2_blood,mouse2,blood,1
L17_Lung_R2,mouse1,lung,2
L17_Mix_random_R2,invitro,mix,5
L17_mouse1_blood,mouse1,blood,4
L17_mouse2_fat,mouse2,fat,6
L18_mouse1_blood,mouse1,blood,2
L18_mouse2_fat,mouse2,fat,6
L19_Mix_random_R1,invitro,mix,8
L19_mouse1_fat,mouse1,fat,4
L20_Lung_R2,mouse1,lung,2
L20_mouse1_blood,mouse1,blood,2
L20_mouse1_fat,mouse1,fat,3
L20_mouse2_fat,mouse2,fat,8
L21_Lung_R2,mouse1,lung,3
L21_Mix_random_R1,invitro,mix,8
L21_Mix_random_R2,invitro,mix,3
L21_mouse2_blood,mouse2,blood,4
L22_Mix_random_R1,invitro,mix,7
L22_Mix_random_R2,invitro,mix,6
L22_mouse1_blood,mouse1,blood,2
L22_mouse1_fat,mouse1,fat,3
L22_mouse2_blood,mouse2,blood,5
L23_Mix_random_R1,invitro,mix,3
L23_mouse1_blood,mouse1,blood,1
L23_mouse1_fat,mouse1,fat,2
L24_mouse1_fat,mouse1,fat,2
L24_mouse2_blood,mouse2,blood,2
L2_Lung_R2,mouse1,lung,3
L2_Mix_random_R2,invitro,mix,6
L2_mouse1_blood,mouse1,blood,5
L2_mouse1_fat,mouse1,fat,4
L2_mouse2_heart,mouse2,heart,2
L3_Lung_R2,mouse1,lung,3
L3_Mix_random_R2,invitro,mix,9
L3_mouse1_blood,mouse1,blood,6
L3_mouse2_heart,mouse2,heart,5
L4_Mix_random_R2,invitro,mix,5
L4_mouse1_blood,mouse1,blood,4
L5_Lung_R2,mouse1,lung,4
L5_Mix_random_R2,invitro,mix,3
L5_mouse1_blood,mouse1,blood,10
L5_mouse2_blood,mouse2,blood,2
L6_Mix_random_R2,invitro,mix,7
L6_mouse1_blood,mouse1,blood,3
L6_mouse1_fat,mouse1,fat,6
L6_mouse1_heart,mouse1,heart,10
L7_Lung_R2,mouse1,lung,5
L7_Mix_random_R2,invitro,mix,6
L7_mouse1_blood,mouse1,blood,9
L7_mouse1_fat,mouse1,fat,9
L7_mouse1_heart,mouse1,heart,6
L7_mouse2_blood,mouse2,blood,3
L7_mouse2_fat,mouse2,fat,4
L8_Lung_R2,mouse1,lung,6
L8_Mix_random_R2,invitro,mix,7
L8_mouse1_fat,mouse1,fat,9
L8_mouse1_heart,mouse1,heart,5
L8_mouse2_fat,mouse2,fat,1
L9_Lung_R2,mouse1,lung,3
L9_Mix_random_R2,invitro,mix,3
L9_mouse1_blood,mouse1,blood,8
L9_mouse1_fat,mouse1,fat,4
L9_mouse1_heart,mouse1,heart,11
L9_mouse2_blood,mouse2,blood,2
L9_mouse2_fat,mouse2,fat,6
L9_mouse2_heart,mouse2,heart,4
M10_Lung_R2,mouse1,lung,2
M10_Mix_random_R2,invitro,mix,8
M10_mouse1_fat,mouse1,fat,7
M10_mouse1_heart,mouse1,heart,2
M10_mouse2_fat,mouse2,fat,1
M10_mouse2_heart,mouse2,heart,2
M11_Mix_random_R2,invitro,mix,11
M11_mouse2_fat,mouse2,fat,2
M11_mouse2_heart,mouse2,heart,4
M12_Mix_random_R1,invitro,mix,3
M12_Mix_random_R2,invitro,mix,4
M12_mouse1_blood,mouse1,blood,3
M12_mouse2_fat,mouse2,fat,4
M13_Mix_random_R1,invitro,mix,3
M13_Mix_random_R2,invitro,mix,4
M13_mouse1_blood,mouse1,blood,5
M13_mouse1_fat,mouse1,fat,2
M13_mouse1_heart,mouse1,heart,2
M13_mouse2_lung,mouse2,lung,2
M14_Mix_random_R1,invitro,mix,3
M14_Mix_random_R2,invitro,mix,4
M14_mouse1_blood,mouse1,blood,2
M14_mouse1_fat,mouse1,fat,4
M15_Lung_R2,mouse1,lung,2
M15_Mix_random_R1,invitro,mix,1
M15_Mix_random_R2,invitro,mix,3
M15_mouse1_blood,mouse1,blood,7
M15_mouse1_fat,mouse1,fat,6
M15_mouse2_blood,mouse2,blood,1
M15_mouse2_fat,mouse2,fat,5
M16_Mix_random_R1,invitro,mix,1
M16_mouse1_fat,mouse1,fat,6
M16_mouse2_fat,mouse2,fat,3
M17_Mix_random_R1,invitro,mix,4
M17_Mix_random_R2,invitro,mix,4
M17_mouse1_fat,mouse1,fat,5
M17_mouse2_blood,mouse2,blood,1
M17_mouse2_fat,mouse2,fat,6
M17_mouse2_lung,mouse2,lung,7
M18_Mix_random_R1,invitro,mix,4
M18_Mix_random_R2,invitro,mix,3
M18_mouse1_fat,mouse1,fat,3
M18_mouse2_blood,mouse2,blood,1
M18_mouse2_fat,mouse2,fat,3
M18_mouse2_lung,mouse2,lung,6
M19_Mix_random_R1,invitro,mix,4
M19_Mix_random_R2,invitro,mix,6
M19_mouse1_fat,mouse1,fat,3
M19_mouse2_blood,mouse2,blood,1
M19_mouse2_lung,mouse2,lung,2
M1_Mix_random_R1,invitro,mix,2
M1_mouse1_blood,mouse1,blood,8
M1_mouse1_fat,mouse1,fat,5
